k,design_random_overlap,design_block_overlap
10,9,7
10,8,8
10,9,8
10,6,9
10,8,9
10,8,8
10,8,7
10,8,10
10,9,8
10,5,6
10,8,7
10,8,6
10,8,8
10,6,6
10,9,8
10,10,8
10,8,9
10,8,8
10,8,8
10,10,8
10,6,7
10,8,10
10,6,8
10,9,7
10,7,8
10,10,8
10,9,8
10,8,8
10,9,9
10,8,8
10,8,6
10,9,8
10,9,9
10,7,10
10,8,9
10,10,7
10,9,8
10,9,8
10,8,5
10,8,8
10,9,9
10,10,10
10,9,5
10,10,10
10,9,5
10,10,7
10,9,8
10,7,8
10,9,5
10,8,8
10,9,8
10,9,8
10,9,7
10,8,8
10,8,9
10,9,7
10,8,7
10,9,9
10,8,8
10,9,7
10,8,8
10,9,8
10,9,6
10,10,8
10,9,6
10,9,7
10,8,7
10,8,8
10,8,8
10,5,7
10,7,10
10,8,7
10,7,7
10,8,9
10,10,10
10,7,7
10,9,6
10,8,10
10,10,7
10,7,7
10,9,7
10,10,6
10,8,8
10,8,7
10,10,6
10,9,8
10,8,7
10,8,7
10,8,8
10,8,9
10,8,8
10,7,9
10,8,9
10,9,10
10,8,10
10,9,9
10,8,7
10,9,5
10,9,8
10,9,8
10,9,8
10,10,6
10,7,9
10,9,8
10,8,8
10,10,10
10,8,10
10,7,10
10,9,6
10,10,6
10,8,8
10,8,8
10,10,7
10,9,8
10,9,7
10,9,5
10,9,8
10,9,10
10,10,8
10,10,7
10,8,9
10,7,6
10,7,6
10,7,8
10,9,8
10,9,4
10,7,7
10,8,9
10,10,7
10,9,9
10,9,8
10,9,7
10,9,10
10,9,7
10,10,9
10,10,7
10,10,6
10,9,8
10,9,6
10,8,8
10,8,6
10,7,7
10,8,5
10,9,8
10,9,7
10,9,7
10,8,8
10,8,10
10,9,8
10,8,8
10,8,9
10,9,9
10,8,7
10,10,7
10,9,8
10,9,8
10,10,8
10,9,6
10,9,8
10,8,9
10,9,9
10,8,7
10,10,8
10,8,6
10,9,6
10,7,6
10,10,6
10,9,5
10,8,8
10,8,7
10,9,8
10,9,6
10,9,9
10,9,7
10,8,6
10,7,9
10,9,8
10,9,6
10,8,8
10,8,10
10,8,7
10,10,7
10,8,6
10,8,7
10,10,8
10,9,9
10,9,10
10,9,7
10,9,5
10,8,8
10,9,8
10,8,7
10,9,7
10,9,8
10,10,7
10,7,7
10,9,6
10,9,9
10,10,8
10,8,6
10,9,7
10,9,6
10,9,9
10,7,5
10,6,10
10,8,8
10,10,7
10,9,10
10,8,8
10,10,6
10,9,9
10,8,9
10,8,9
10,9,9
10,8,8
10,8,7
10,9,8
10,10,6
10,9,9
10,9,10
10,8,8
10,9,10
10,9,6
10,9,8
10,10,9
10,8,9
10,9,9
10,7,9
10,9,9
10,10,8
10,10,10
10,9,9
10,9,7
10,8,10
10,9,6
10,8,7
10,9,7
10,8,8
10,8,7
10,10,8
10,9,7
10,8,6
10,8,8
10,9,5
10,9,8
10,9,8
10,9,8
10,8,10
10,8,8
10,8,7
10,9,8
10,8,7
10,10,8
10,9,7
10,5,9
10,7,8
10,8,8
10,8,9
10,7,10
10,8,8
10,10,8
10,8,6
10,8,7
10,10,7
10,9,8
10,9,7
10,8,10
10,7,7
10,9,8
10,10,7
10,9,6
10,8,9
10,8,7
10,8,8
10,9,7
10,9,8
10,9,7
10,10,9
10,9,8
10,10,10
10,9,7
10,9,10
10,10,9
10,8,8
10,8,8
10,8,7
10,10,8
10,9,9
10,10,8
10,8,8
10,8,6
10,8,9
10,10,8
10,9,6
10,9,8
10,10,5
10,10,5
10,8,10
10,7,6
10,10,8
10,8,10
10,8,6
10,9,8
10,9,6
10,9,7
10,9,9
10,9,4
10,10,8
10,9,8
10,8,10
10,9,9
10,8,7
10,8,8
10,9,7
10,8,7
10,8,9
10,8,6
10,9,6
10,9,7
10,8,9
10,9,10
10,9,10
10,9,6
10,7,9
10,8,8
10,10,8
10,8,6
10,8,9
10,9,7
10,6,7
10,9,9
10,8,8
10,10,7
10,9,7
10,8,7
10,7,6
10,8,8
10,9,7
10,8,8
10,8,9
10,9,7
10,8,8
10,9,8
10,9,7
10,9,7
10,10,10
10,8,7
10,9,9
10,10,8
10,9,7
10,9,6
10,9,8
10,7,8
10,8,10
10,9,9
10,9,8
10,9,6
10,9,8
10,10,8
10,8,7
10,8,7
10,9,6
10,8,7
10,9,6
10,8,6
10,9,7
10,8,5
10,9,8
10,7,6
10,9,8
10,9,7
10,8,7
10,9,7
10,9,8
10,9,9
10,8,7
10,9,7
10,8,8
10,9,7
10,8,8
10,9,7
10,9,6
10,8,8
10,8,6
10,9,8
10,8,5
10,8,6
10,9,9
10,9,10
10,8,8
10,10,9
10,8,6
10,9,9
10,10,6
10,6,8
10,9,9
10,10,6
10,8,5
10,9,7
10,9,7
10,8,8
10,9,6
10,8,6
10,8,10
10,9,7
10,7,10
10,9,8
10,8,7
10,9,8
10,9,7
10,9,10
10,10,7
10,9,6
10,10,8
10,8,9
10,9,10
10,9,9
10,6,8
10,9,8
10,9,10
10,8,10
10,6,8
10,8,9
10,7,6
10,8,6
10,10,6
10,9,7
10,10,10
10,8,9
10,10,8
10,8,6
10,10,7
10,9,8
10,8,6
10,9,9
10,8,7
10,8,7
10,9,7
10,4,8
10,9,5
10,9,8
10,9,8
10,8,8
10,9,8
10,10,8
10,9,7
10,8,10
10,8,8
10,8,8
10,10,7
10,8,7
10,8,8
10,8,6
10,8,7
10,10,6
10,9,7
10,8,7
10,5,5
10,9,7
10,9,8
10,10,7
10,8,10
10,10,7
10,9,10
10,9,7
10,8,8
10,8,9
10,8,8
10,10,8
10,8,7
10,6,8
10,8,8
10,7,8
10,8,8
10,9,8
10,8,6
10,10,6
10,8,10
10,8,8
10,8,7
10,10,6
10,7,7
10,9,8
10,7,8
10,8,8
10,9,7
10,10,9
10,10,4
10,8,8
10,9,6
10,8,7
10,9,9
10,8,10
10,10,8
10,9,10
10,10,8
10,10,8
10,8,9
10,9,6
10,8,6
10,8,7
10,9,7
10,9,8
10,10,8
10,9,9
10,9,6
10,9,6
10,8,10
10,9,8
10,7,9
10,9,8
10,9,8
10,8,7
10,9,9
10,7,6
10,8,9
10,9,8
10,10,7
10,8,7
10,9,6
10,10,7
10,9,6
10,9,7
10,9,7
10,9,8
10,8,7
10,9,8
10,9,10
10,9,7
10,8,8
10,7,8
10,9,9
10,10,6
10,8,8
10,10,6
10,6,8
10,9,8
10,10,6
10,8,8
10,9,10
10,8,8
10,7,10
10,10,5
10,9,8
10,9,9
10,10,8
10,8,8
10,8,8
10,8,10
10,8,8
10,8,9
10,9,8
10,10,8
10,9,9
10,8,7
10,8,9
10,9,7
10,9,7
10,10,6
10,8,8
10,10,5
10,10,10
10,9,9
10,9,8
10,9,8
10,8,9
10,9,7
10,9,7
10,9,10
10,9,10
10,8,8
10,9,10
10,8,7
10,7,7
10,9,10
10,9,7
10,10,7
10,10,9
10,10,9
10,9,7
10,10,10
10,10,6
10,9,9
10,10,9
10,9,8
10,8,8
10,9,7
10,9,6
10,8,8
10,9,9
10,9,7
10,8,8
10,8,9
10,8,8
10,10,6
10,9,9
10,8,7
10,8,6
10,9,7
10,9,5
10,8,6
10,9,7
10,8,7
10,9,9
10,10,8
10,9,6
10,9,10
10,8,8
10,10,10
10,9,10
10,8,10
10,10,10
10,9,8
10,10,7
10,8,7
10,9,9
10,9,7
10,9,7
10,10,8
10,6,7
10,8,8
10,9,5
10,9,8
10,10,8
10,9,7
10,9,7
10,9,8
10,8,8
10,9,7
10,9,8
10,9,8
10,9,7
10,9,8
10,9,7
10,10,10
10,8,8
10,8,10
10,10,8
10,9,7
10,9,8
10,8,7
10,10,8
10,7,10
10,9,9
10,10,8
10,10,8
10,8,10
10,8,7
10,8,7
10,8,10
10,9,6
10,10,7
10,7,7
10,9,8
10,8,8
10,8,8
10,9,6
10,9,9
10,8,9
10,9,8
10,10,9
10,7,8
10,9,8
10,9,7
10,9,6
10,9,8
10,5,8
10,9,9
10,10,6
10,8,7
10,9,8
10,9,9
10,9,7
10,9,8
10,10,8
10,9,10
10,10,8
10,7,7
10,10,8
10,9,8
10,8,8
10,8,9
10,9,8
10,8,10
10,8,7
10,10,8
10,10,7
10,9,10
10,10,6
10,8,7
10,10,9
10,10,6
10,9,8
10,9,8
10,9,9
10,10,10
10,10,10
10,9,4
10,8,7
10,8,7
10,9,8
10,9,8
10,8,8
10,9,6
10,9,9
10,10,9
10,8,10
10,9,6
10,8,9
10,9,8
10,10,7
10,10,8
10,9,5
10,7,7
10,8,6
10,8,7
10,8,7
10,7,9
10,8,6
10,9,8
10,9,10
10,10,10
10,7,7
10,8,8
10,8,8
10,10,9
10,10,7
10,9,7
10,8,7
10,8,7
10,10,7
10,10,7
10,10,10
10,9,8
10,8,7
10,10,7
10,9,8
10,9,8
10,9,6
10,10,8
10,10,9
10,8,8
10,9,7
10,10,4
10,9,8
10,9,9
10,8,8
10,7,10
10,8,10
10,9,6
10,9,6
10,10,8
10,9,7
10,9,9
10,9,6
10,9,6
10,8,8
10,10,7
10,8,8
10,9,8
10,8,5
10,8,9
10,9,8
10,8,10
10,9,8
10,8,4
10,10,9
10,9,5
10,9,7
10,8,6
10,8,7
10,7,7
10,10,9
10,9,9
10,7,6
10,9,7
10,8,6
10,8,10
10,6,8
10,8,8
10,8,9
10,9,8
10,8,9
10,8,9
10,8,6
10,8,7
10,8,9
10,9,7
10,10,7
10,8,8
10,10,9
10,9,7
10,9,7
10,10,8
10,9,8
10,9,6
10,7,8
10,8,6
10,8,10
10,8,9
10,10,6
10,8,8
10,9,9
10,9,10
10,9,9
10,8,9
10,9,6
10,8,7
10,9,7
10,8,6
10,8,8
10,10,8
10,9,6
10,10,9
10,9,10
10,8,9
10,10,8
10,8,10
10,8,10
10,9,8
10,10,9
10,7,9
10,9,8
10,10,8
10,9,7
10,9,7
10,8,7
10,9,7
10,8,8
10,9,7
10,9,6
10,8,7
10,8,8
10,10,9
10,9,8
10,7,6
10,9,6
10,8,8
10,8,6
10,9,9
10,8,5
10,8,5
10,10,7
10,9,10
10,8,6
10,8,7
10,8,7
10,8,6
10,8,8
10,10,7
10,7,6
10,7,9
10,10,7
10,8,9
10,9,6
10,10,5
10,10,6
10,8,5
10,10,5
10,8,8
10,10,6
10,10,7
10,8,9
10,10,8
10,10,7
10,9,8
10,8,9
10,10,10
10,7,8
10,10,6
10,10,8
10,10,8
10,8,7
10,8,10
10,6,7
10,8,9
10,9,5
10,10,10
10,9,8
10,8,7
10,10,7
10,8,10
10,8,9
10,10,8
10,8,8
10,10,7
10,10,8
10,9,7
10,10,7
10,9,7
10,10,8
10,8,10
10,8,10
10,10,8
10,10,7
10,9,10
10,9,9
10,9,9
10,9,10
10,10,6
10,8,7
10,9,9
10,8,7
10,8,8
10,9,7
10,7,7
10,8,7
10,8,7
10,8,7
10,10,6
10,9,8
10,10,8
10,9,6
10,9,8
10,9,8
10,8,6
10,10,7
10,9,7
10,6,6
10,9,9
10,9,7
10,9,8
10,8,7
10,8,8
10,8,10
10,9,6
10,7,7
10,9,9
10,9,6
10,9,7
10,8,4
10,8,7
10,8,6
10,8,10
10,10,8
10,9,8
10,9,7
10,9,8
10,7,7
10,8,8
10,9,6
10,9,8
10,8,8
10,7,8
10,8,8
10,9,8
10,9,10
10,10,6
10,9,6
10,10,7
10,8,7
10,8,10
10,8,6
10,9,9
10,10,8
10,10,8
10,5,7
10,10,8
10,9,7
10,9,8
10,9,7
10,9,8
10,9,10
10,10,9
10,8,7
10,8,9
10,9,7
10,8,8
10,9,10
10,8,10
10,8,8
10,9,7
10,8,7
10,5,7
10,9,7
10,9,8
10,10,10
10,8,7
10,8,9
10,10,10
10,9,7
10,9,6
10,9,10
10,9,5
10,9,9
10,9,9
10,9,7
10,9,6
10,8,8
10,10,7
10,9,7
10,8,5
10,8,5
10,9,8
10,9,9
10,9,9
10,7,8
10,7,10
10,6,8
10,8,10
10,9,7
10,7,6
10,10,10
10,8,9
10,9,7
10,10,7
10,7,6
10,10,8
10,8,8
10,10,8
10,7,7
10,9,8
10,8,9
10,10,8
10,8,7
10,10,6
10,7,10
10,10,7
10,9,9
10,8,9
10,10,8
10,9,10
10,8,10
10,8,7
10,8,9
10,8,7
10,10,9
10,8,7
10,7,8
10,10,10
10,10,8
10,9,7
10,10,10
10,7,8
10,9,8
10,9,7
10,10,8
10,9,9
10,10,8
10,10,7
10,7,7
10,9,6
10,9,9
10,9,5
10,9,9
10,9,6
10,8,7
10,10,7
10,8,9
10,8,7
10,9,7
10,7,10
10,9,9
10,10,10
10,8,7
10,10,6
10,8,9
10,9,7
10,7,8
10,10,7
10,8,8
10,9,7
10,9,7
10,9,7
10,9,8
10,10,8
10,9,7
10,10,8
10,9,7
10,9,6
10,8,6
10,8,8
10,8,9
10,9,8
10,10,7
10,9,10
10,8,10
10,9,7
10,10,9
10,8,7
10,10,8
10,8,7
10,8,8
10,10,6
10,8,6
10,9,8
10,8,8
10,10,8
10,8,7
10,8,9
10,9,7
10,6,8
10,9,9
10,10,10
10,9,7
10,9,7
10,9,9
10,9,10
10,8,7
10,9,7
10,8,10
10,10,9
10,10,8
10,7,8
10,9,7
10,9,10
10,9,6
10,8,8
10,8,5
10,8,6
10,9,8
10,8,6
10,9,8
10,7,9
10,9,5
10,9,7
10,9,8
10,9,7
10,9,7
10,9,9
10,9,7
10,8,5
10,8,6
10,10,8
10,9,7
10,8,8
10,10,8
10,9,9
10,8,6
10,9,8
10,8,7
10,9,7
10,8,8
10,9,7
10,10,9
10,8,7
10,9,5
10,7,8
10,9,5
10,9,6
10,9,9
10,10,6
10,9,8
10,6,6
10,10,8
10,9,10
10,8,8
10,8,8
10,10,5
10,10,7
10,9,9
10,9,8
10,10,8
10,8,9
10,8,8
10,7,7
10,8,9
10,10,8
10,9,8
10,8,6
10,10,9
10,8,7
10,8,9
10,9,10
10,9,8
10,7,8
10,8,7
10,10,6
10,9,10
10,8,5
10,9,7
10,8,9
10,9,8
10,9,6
10,9,7
10,6,8
10,9,6
10,8,7
10,10,8
10,8,5
10,6,9
10,9,8
10,9,6
10,8,7
10,9,9
10,10,10
10,9,6
10,9,8
10,8,9
10,9,8
10,9,7
10,9,7
10,9,6
10,9,7
10,10,6
10,9,7
10,10,9
10,8,9
10,10,7
10,10,9
10,10,6
10,8,8
10,8,8
10,9,8
10,8,10
10,8,8
10,8,9
10,9,7
10,10,7
10,10,8
10,8,8
10,9,8
10,9,8
10,8,6
10,8,10
10,10,7
10,9,8
10,9,8
10,9,7
10,9,8
10,9,9
10,7,8
10,9,8
10,8,4
10,9,6
10,8,6
10,8,9
10,9,5
10,8,8
10,10,8
10,9,8
10,8,10
10,10,9
10,10,5
10,8,7
10,10,9
10,10,8
10,7,8
10,8,6
10,9,9
10,9,8
10,9,8
10,7,9
10,10,8
10,10,7
10,9,7
10,10,9
10,9,9
10,9,8
10,9,10
10,8,8
10,8,7
10,10,7
10,10,6
10,8,8
10,10,10
10,10,8
10,9,7
10,10,6
10,7,8
10,9,6
10,6,7
10,9,6
10,9,10
10,9,6
10,8,10
10,9,8
10,7,7
10,9,7
10,8,9
10,8,7
10,8,7
10,8,9
10,8,6
10,6,10
10,10,7
10,8,7
10,8,5
10,7,9
10,8,9
10,7,5
10,10,9
10,9,10
10,8,8
10,10,10
10,8,9
10,8,9
10,9,7
10,9,8
10,8,9
10,9,8
10,10,8
10,10,7
10,10,7
10,9,7
10,10,7
10,9,6
10,8,8
10,9,8
10,8,8
10,7,8
10,8,6
10,7,8
10,9,8
10,8,6
10,8,9
10,9,6
10,8,10
10,10,6
10,7,6
10,8,7
10,9,6
10,9,10
10,8,7
10,8,7
10,9,10
10,10,8
10,9,8
10,8,6
10,9,9
10,8,8
10,9,8
10,9,9
10,9,8
10,9,8
10,6,9
10,9,8
10,9,6
10,7,8
10,9,10
10,8,9
10,8,6
10,8,10
10,9,7
10,8,7
10,9,7
10,9,9
10,9,9
10,9,6
10,10,10
10,8,7
10,9,9
10,9,6
10,9,8
10,9,6
10,7,9
10,8,10
10,8,6
10,8,7
10,9,7
10,8,8
10,9,10
10,8,7
10,8,8
10,10,8
10,8,7
10,9,6
10,10,10
10,9,6
10,9,8
10,8,8
10,10,10
10,10,8
10,8,9
10,7,7
10,9,9
10,8,9
10,10,6
10,9,8
10,9,8
10,8,7
10,9,9
10,8,8
10,10,8
10,9,8
10,9,6
10,7,7
10,8,9
10,9,7
10,8,10
10,8,9
10,7,10
10,10,10
10,8,8
10,8,7
10,8,8
10,9,6
10,9,8
10,8,4
10,8,9
10,9,8
10,9,9
10,8,9
10,8,6
10,7,9
10,8,8
10,8,9
10,9,7
10,9,10
10,9,8
10,8,9
10,9,7
10,8,8
10,9,9
10,8,8
10,9,7
10,8,7
10,7,6
10,10,8
10,10,7
10,10,6
10,8,7
10,10,7
10,9,8
10,9,8
10,7,7
10,9,10
10,10,8
10,9,9
10,8,7
10,9,7
10,9,9
10,10,5
10,10,7
10,9,9
10,8,8
10,10,5
10,9,7
10,9,8
10,8,8
10,8,9
10,8,10
10,8,8
10,9,8
10,8,8
10,8,8
10,9,7
10,10,7
10,9,6
10,8,8
10,9,8
10,10,6
10,8,10
10,7,9
10,9,8
10,9,9
10,8,9
10,10,9
10,8,9
10,8,8
10,10,6
10,9,6
10,8,7
10,10,8
10,10,5
10,9,7
10,9,9
10,8,7
10,8,10
10,9,8
10,10,8
10,8,8
10,10,9
10,8,9
10,8,8
10,9,7
10,8,10
10,10,9
10,10,7
10,9,8
10,9,6
10,8,8
10,9,8
10,9,8
10,8,10
10,9,10
10,8,9
10,9,8
10,8,9
10,9,8
10,6,8
10,8,7
10,8,6
10,9,8
10,8,8
10,9,8
10,9,9
10,10,6
10,8,6
10,9,7
10,9,8
10,9,8
10,10,9
10,8,7
10,8,7
10,7,7
10,7,7
10,10,7
10,7,9
10,6,8
10,7,9
10,8,6
10,9,9
10,9,9
10,10,5
10,9,7
10,7,7
10,9,8
10,8,9
10,8,7
10,10,6
10,8,8
10,9,9
10,8,8
10,8,9
10,8,5
10,8,8
10,10,9
10,10,7
10,10,9
10,10,7
10,8,10
10,7,7
10,6,7
10,9,7
10,8,7
10,7,8
10,8,6
10,8,8
10,8,5
10,8,6
10,9,6
10,10,7
10,9,8
10,8,10
10,9,9
10,8,6
10,9,8
10,8,6
10,8,6
10,8,9
10,9,8
10,8,8
10,10,10
10,9,7
10,9,10
10,10,8
10,10,6
10,8,8
10,9,6
10,10,7
10,9,8
10,10,5
10,8,8
10,9,6
10,10,7
10,9,8
10,8,9
10,10,8
10,9,7
10,9,5
10,10,7
10,9,8
10,7,9
10,9,8
10,8,6
10,10,7
10,9,6
10,9,7
10,9,7
10,8,10
10,9,10
10,8,7
10,10,8
10,9,10
10,9,5
10,9,6
10,8,6
10,8,9
10,10,10
10,9,8
10,9,6
10,9,10
10,9,9
10,10,8
10,10,8
10,9,5
10,9,8
10,8,7
10,9,7
10,9,7
10,10,10
10,4,7
10,7,8
10,9,7
10,9,6
10,9,8
10,10,7
10,8,7
10,8,7
10,9,7
10,9,8
10,9,8
10,7,8
10,9,5
10,9,9
10,6,7
10,10,7
10,8,6
10,9,8
10,9,6
10,9,6
10,6,8
10,9,8
10,8,7
10,9,7
10,10,8
10,10,10
10,10,10
10,9,10
10,9,10
10,9,8
10,9,6
10,8,8
10,8,7
10,8,7
10,10,8
10,8,7
10,8,8
10,9,6
10,8,6
10,8,7
10,8,9
10,9,10
10,8,8
10,10,7
10,9,8
10,9,6
10,10,10
10,10,9
10,10,6
10,8,8
10,8,9
10,8,8
10,8,8
10,9,7
10,7,6
10,8,10
10,8,6
10,8,7
10,9,6
10,6,7
10,8,8
10,9,7
10,9,7
10,8,8
10,10,8
10,9,8
10,10,7
10,10,7
10,8,7
10,7,5
10,8,7
10,9,9
10,10,6
10,10,8
10,8,9
10,10,6
10,10,8
10,10,7
10,10,7
10,9,9
10,9,6
10,10,10
10,10,8
10,9,7
10,8,7
10,8,7
10,8,7
10,9,8
10,8,9
10,9,7
10,10,7
10,8,6
10,8,6
10,7,8
10,7,9
10,9,7
10,10,6
10,10,7
10,9,7
10,8,10
10,8,8
10,9,8
10,9,8
10,8,9
10,9,8
10,8,7
10,8,9
10,10,8
10,10,6
10,9,5
10,8,7
10,8,6
10,8,6
10,8,8
10,10,8
10,9,8
10,8,5
10,10,8
10,10,9
10,10,7
10,8,9
10,9,8
10,9,9
10,10,10
10,10,10
10,8,8
10,8,10
10,8,7
10,10,9
10,10,8
10,9,6
10,8,9
10,10,7
10,9,10
10,7,7
10,9,6
10,8,9
10,9,10
10,9,7
10,10,8
10,6,7
10,7,7
10,9,7
10,8,8
10,10,6
10,10,7
10,8,6
10,10,6
10,6,8
10,8,6
10,9,8
10,9,8
10,9,8
10,10,8
10,9,7
10,8,6
10,8,5
10,9,9
10,8,8
10,9,7
10,9,7
10,9,7
10,9,7
10,9,9
10,9,8
10,9,6
10,9,7
10,9,8
10,10,7
10,9,8
10,10,8
10,9,10
10,8,10
10,9,6
10,8,8
10,8,10
10,8,8
10,10,10
10,9,7
10,10,7
10,9,6
10,9,9
10,9,9
10,10,8
10,7,6
10,10,9
10,9,7
10,9,6
10,7,6
10,9,10
10,9,4
10,7,6
10,9,7
10,8,9
10,8,8
10,9,8
10,8,8
10,8,7
10,9,8
10,9,10
10,8,6
10,8,10
10,9,6
10,7,9
10,8,6
10,6,9
10,8,6
10,9,8
10,8,6
10,9,7
10,8,6
10,8,6
10,9,9
10,9,9
10,9,8
10,8,8
10,8,10
10,8,9
10,9,8
10,8,7
10,9,7
10,9,9
10,8,7
10,9,10
10,8,8
10,8,8
10,8,6
10,8,8
10,9,7
10,8,8
10,9,7
10,10,7
10,10,7
10,8,7
10,8,9
10,10,10
10,8,7
10,9,6
10,9,7
10,8,8
10,10,7
10,10,10
10,8,6
10,8,8
10,10,8
10,8,5
10,8,6
10,10,6
10,9,7
10,10,7
10,8,7
10,9,7
10,8,6
10,7,6
10,10,7
10,9,6
10,9,9
10,7,7
10,9,7
10,9,9
10,10,6
10,7,8
10,8,9
10,8,8
10,10,7
10,8,6
10,8,9
10,9,8
10,9,6
10,7,10
10,9,7
10,9,7
10,7,10
10,8,8
10,10,5
10,8,9
10,8,8
10,8,8
10,10,8
10,10,9
10,9,6
10,10,7
10,10,9
10,10,7
10,9,7
10,9,7
10,9,9
10,8,6
10,8,8
10,9,7
10,9,7
10,8,7
10,6,8
10,9,8
10,8,5
10,8,9
10,9,8
10,9,8
10,7,9
10,9,8
10,7,8
10,10,9
10,8,8
10,9,8
10,10,10
10,9,8
10,9,10
10,8,8
10,9,8
10,9,6
10,8,9
10,10,7
10,8,7
10,8,6
10,10,8
10,8,7
10,9,7
10,10,7
10,9,6
10,8,6
10,9,7
10,8,8
10,9,8
10,10,8
10,9,8
10,8,6
10,10,6
10,8,5
10,8,8
10,10,7
10,8,8
10,8,8
10,10,9
10,9,8
10,9,8
10,8,6
10,8,8
10,8,9
10,8,7
10,9,7
10,10,6
10,9,6
10,9,6
10,9,6
10,9,6
10,9,6
10,8,5
10,9,8
10,9,8
10,9,8
10,10,8
10,8,10
10,9,6
10,7,7
10,10,8
10,8,6
10,9,7
10,8,7
10,10,8
10,7,8
10,7,9
10,9,6
10,8,8
10,9,6
10,9,8
10,9,9
10,9,4
10,9,7
10,9,6
10,9,8
10,9,5
10,10,7
10,8,8
10,9,7
10,8,6
10,9,7
10,9,9
10,9,8
10,5,6
10,8,8
10,6,7
10,8,8
10,8,8
10,8,7
10,9,7
10,8,8
10,8,7
10,9,7
10,8,7
10,9,8
10,10,10
10,8,9
10,10,8
10,8,9
10,9,7
10,8,8
10,9,8
10,9,7
10,7,9
10,9,8
10,7,8
10,8,6
10,10,6
10,10,8
10,9,7
10,8,8
10,8,6
10,9,8
10,8,8
10,7,6
10,8,10
10,9,7
10,7,7
10,9,8
10,8,7
10,7,7
10,10,6
10,9,8
10,8,7
10,8,9
10,9,7
10,8,7
10,8,9
10,10,9
10,9,6
10,7,5
10,8,7
10,10,9
10,8,9
10,9,9
10,10,7
10,9,7
10,10,5
10,10,10
10,8,7
10,8,7
10,8,6
10,9,9
10,9,8
10,8,7
10,9,9
10,8,10
10,9,7
10,9,8
10,8,6
10,10,7
10,8,7
10,9,6
10,9,9
10,5,9
10,9,8
10,9,6
10,10,9
10,9,9
10,7,8
10,7,10
10,9,9
10,8,8
10,8,9
10,9,7
10,9,7
10,9,9
10,10,9
10,10,8
10,8,7
10,8,8
10,9,7
10,8,6
10,9,6
10,10,8
10,10,7
10,9,8
10,8,8
10,9,8
10,9,9
10,9,8
10,8,8
10,9,5
10,8,9
10,8,9
10,9,7
10,10,9
10,8,10
10,10,7
10,8,8
10,9,9
10,8,9
10,9,8
10,9,7
10,8,9
10,9,8
10,6,10
10,10,6
10,8,7
10,9,10
10,8,8
10,8,7
10,7,7
10,9,5
10,9,8
10,8,8
10,9,8
10,9,8
10,8,6
10,9,7
10,8,7
10,9,6
10,9,8
10,8,8
10,8,10
10,10,8
10,9,6
10,10,7
10,9,8
10,8,10
10,9,7
10,8,9
10,6,10
10,7,7
10,9,10
10,8,7
10,9,8
10,8,8
10,9,7
10,10,10
10,9,8
10,9,8
10,8,5
10,9,8
10,7,10
10,9,7
10,8,8
10,8,5
10,10,10
10,9,7
10,10,7
10,9,8
10,9,8
10,8,8
10,7,8
10,10,7
10,9,6
10,9,8
10,9,7
10,9,8
10,9,8
10,10,5
10,6,10
10,8,8
10,8,7
10,10,7
10,9,6
10,10,9
10,8,6
10,9,9
10,8,9
10,10,5
10,9,8
10,6,8
10,9,7
10,6,8
10,8,7
10,8,9
10,8,7
10,7,7
10,9,8
10,9,10
10,10,7
10,8,9
